raw_class_id,target,class_name,class_family,variant,match_status,external_trait_count,external_traits,source_names,source_statuses,source_urls,licenses
295,0,Common Eider (Adult male),Common Eider,Adult male,matched_with_traits,3,"[""black and white plumage"", ""green bill"", ""green nape""]",wikipedia,wikipedia:ok,https://en.wikipedia.org/wiki/Common_eider,CC BY-SA (Wikipedia text; verify page footer)
296,1,Long-tailed Duck (Winter male),Long-tailed Duck,Winter male,matched_with_traits,8,"[""brown back"", ""dark breast"", ""dark cheek"", ""dark crown"", ""white cheek"", ""white head"", ""white underparts"", ""long-tailed duck""]",wikipedia,wikipedia:ok,https://en.wikipedia.org/wiki/Long-tailed_duck,CC BY-SA (Wikipedia text; verify page footer)
297,2,Ruddy Duck (Breeding male),Ruddy Duck,Breeding male,matched_with_traits,5,"[""blackish cap"", ""blue bill"", ""gray bill"", ""pale cheek"", ""thick neck""]",wikipedia,wikipedia:ok,https://en.wikipedia.org/wiki/Ruddy_duck,CC BY-SA (Wikipedia text; verify page footer)
298,3,Swainson's Hawk (Dark morph ),Swainson's Hawk,Dark morph,matched_with_traits,2,"[""white throat"", ""large bird""]",wikipedia,wikipedia:ok,https://en.wikipedia.org/wiki/Swainson's_hawk,CC BY-SA (Wikipedia text; verify page footer)
299,4,Red-tailed Hawk (Light morph adult),Red-tailed Hawk,Light morph adult,matched_with_traits,5,"[""cinnamon flanks"", ""dark wing"", ""red tail"", ""rufous underparts"", ""stocky body""]",wikipedia,wikipedia:ok,https://en.wikipedia.org/wiki/Red-tailed_hawk,CC BY-SA (Wikipedia text; verify page footer)
313,5,Snow Goose (White morph),Snow Goose,White morph,matched_with_traits,3,"[""gray plumage"", ""white plumage"", ""black wing""]",wikipedia,wikipedia:ok,https://en.wikipedia.org/wiki/Snow_goose,CC BY-SA (Wikipedia text; verify page footer)
314,6,Wood Duck (Breeding male),Wood Duck,Breeding male,matched_with_traits,2,"[""white eye"", ""whitish throat""]",wikipedia,wikipedia:ok,https://en.wikipedia.org/wiki/Wood_duck,CC BY-SA (Wikipedia text; verify page footer)
315,7,Gadwall (Breeding male),Gadwall,Breeding male,matched_with_traits,2,"[""chestnut wings"", ""white belly""]",wikipedia,wikipedia:ok,https://en.wikipedia.org/wiki/Gadwall,CC BY-SA (Wikipedia text; verify page footer)
316,8,American Wigeon (Breeding male),American Wigeon,Breeding male,matched_with_traits,8,"[""gray and brown plumage"", ""blue bill"", ""white belly"", ""whitish crown"", ""small bill"", ""medium-sized bird"", ""small duck"", ""short neck""]",wikipedia,wikipedia:ok,https://en.wikipedia.org/wiki/American_wigeon,CC BY-SA (Wikipedia text; verify page footer)
317,9,Mallard (Breeding male),Mallard,Breeding male,matched_with_traits,5,"[""brown breast"", ""brown wings"", ""dark tail"", ""green head"", ""white belly""]",wikipedia,wikipedia:ok,https://en.wikipedia.org/wiki/Mallard,CC BY-SA (Wikipedia text; verify page footer)
318,10,Blue-winged Teal  (Male),Blue-winged Teal,Male,matched_with_traits,3,"[""black tail"", ""blue head"", ""blue wing""]",wikipedia,wikipedia:ok,https://en.wikipedia.org/wiki/Blue-winged_teal,CC BY-SA (Wikipedia text; verify page footer)
319,11,Cinnamon Teal (Male),Cinnamon Teal,Male,matched_with_traits,9,"[""brown plumage"", ""reddish plumage"", ""brown back"", ""brown head"", ""dark bill"", ""red eye"", ""red head"", ""eye line"", ""eye ring""]",wikipedia,wikipedia:ok,https://en.wikipedia.org/wiki/Cinnamon_teal,CC BY-SA (Wikipedia text; verify page footer)
320,12,Northern Shoveler (Breeding male),Northern Shoveler,Breeding male,matched_with_traits,3,"[""chestnut belly"", ""green head"", ""white breast""]",wikipedia,wikipedia:ok,https://en.wikipedia.org/wiki/Northern_shoveler,CC BY-SA (Wikipedia text; verify page footer)
321,13,Northern Pintail (Breeding male),Northern Pintail,Breeding male,matched_with_traits,5,"[""brown head"", ""white breast"", ""white underparts"", ""large duck"", ""long neck""]",wikipedia,wikipedia:ok,https://en.wikipedia.org/wiki/Northern_pintail,CC BY-SA (Wikipedia text; verify page footer)
322,14,Green-winged Teal (Male),Green-winged Teal,Male,matched_with_traits,3,"[""chestnut head"", ""gray flanks"", ""green eye""]",wikipedia,wikipedia:ok,https://en.wikipedia.org/wiki/Green-winged_teal,CC BY-SA (Wikipedia text; verify page footer)
323,15,Canvasback (Breeding male),Canvasback,Breeding male,matched_with_traits,7,"[""black bill"", ""black breast"", ""black rump"", ""brown head"", ""brown tail"", ""grayish back"", ""red head""]",wikipedia,wikipedia:ok,https://en.wikipedia.org/wiki/Canvasback,CC BY-SA (Wikipedia text; verify page footer)
324,16,Redhead (Breeding male),Redhead,Breeding male,matched_with_traits,2,"[""blue eye"", ""red head""]",wikipedia,wikipedia:ok,https://en.wikipedia.org/wiki/Red_hair,CC BY-SA (Wikipedia text; verify page footer)
