raw_class_id,target,class_name,class_family,prompt_id,prompt,prompt_set,variant_label,descriptor_count,clean_descriptor_count,descriptor_quality
295,0,Common Eider (Adult male),Common Eider,0,"a bird with adult male plumage, white upperparts, black underparts, black cap, and pale green nape.",descriptor_only,Adult male,10,5,needs_normalization|shared_variant_descriptor
295,0,Common Eider (Adult male),Common Eider,1,"a field guide photo of a bird showing adult male plumage, white upperparts, black underparts, black cap, and pale green nape.",descriptor_only,Adult male,10,5,needs_normalization|shared_variant_descriptor
296,1,Long-tailed Duck (Winter male),Long-tailed Duck,0,"a bird with winter male plumage, large dark patch, white face, and dark patch.",descriptor_only,Winter male,15,4,needs_normalization|shared_variant_descriptor
296,1,Long-tailed Duck (Winter male),Long-tailed Duck,1,"a field guide photo of a bird showing winter male plumage, large dark patch, white face, and dark patch.",descriptor_only,Winter male,15,4,needs_normalization|shared_variant_descriptor
297,2,Ruddy Duck (Breeding male),Ruddy Duck,0,"a bird with breeding male plumage, blackish cap, pale cheek, bright blue bill, and dull gray bill.",descriptor_only,Breeding male,11,5,needs_normalization|shared_variant_descriptor
297,2,Ruddy Duck (Breeding male),Ruddy Duck,1,"a field guide photo of a bird showing breeding male plumage, blackish cap, pale cheek, bright blue bill, and dull gray bill.",descriptor_only,Breeding male,11,5,needs_normalization|shared_variant_descriptor
298,3,Swainson's Hawk (Dark morph ),Swainson's Hawk,0,"a bird with dark morph, dark reddish-brown chest, brown gray upperparts, and white wing.",descriptor_only,Dark morph,10,4,needs_normalization|shared_variant_descriptor
298,3,Swainson's Hawk (Dark morph ),Swainson's Hawk,1,"a field guide photo of a bird showing dark morph, dark reddish-brown chest, brown gray upperparts, and white wing.",descriptor_only,Dark morph,10,4,needs_normalization|shared_variant_descriptor
299,4,Red-tailed Hawk (Light morph adult),Red-tailed Hawk,0,"a bird with light morph adult, rich brown upperparts, pale underparts, dark bar, and dark belly.",descriptor_only,Light morph adult,14,5,needs_normalization|shared_variant_descriptor
299,4,Red-tailed Hawk (Light morph adult),Red-tailed Hawk,1,"a field guide photo of a bird showing light morph adult, rich brown upperparts, pale underparts, dark bar, and dark belly.",descriptor_only,Light morph adult,14,5,needs_normalization|shared_variant_descriptor
313,5,Snow Goose (White morph),Snow Goose,0,"a bird with white morph, blue white face, white body, dark line, and dark patch.",descriptor_only,White morph,11,5,needs_normalization|shared_variant_descriptor
313,5,Snow Goose (White morph),Snow Goose,1,"a field guide photo of a bird showing white morph, blue white face, white body, dark line, and dark patch.",descriptor_only,White morph,11,5,needs_normalization|shared_variant_descriptor
314,6,Wood Duck (Breeding male),Wood Duck,0,"a bird with breeding male plumage, white throat, chestnut breast, red white bill, and glossy green crest.",descriptor_only,Breeding male,7,5,compact_verified
