raw_class_id,target,class_name,class_family,prompt_id,prompt,prompt_set,variant_label,descriptor_count,clean_descriptor_count,descriptor_quality
295,0,Common Eider (Adult male),Common Eider,0,"Common Eider Adult male; field marks: adult male plumage, white upperparts, black underparts, black cap, and pale green nape.",clean_descriptor,Adult male,10,5,needs_normalization|shared_variant_descriptor
295,0,Common Eider (Adult male),Common Eider,1,"a field guide photo of an adult male Common Eider with adult male plumage, white upperparts, black underparts, black cap, and pale green nape.",clean_descriptor,Adult male,10,5,needs_normalization|shared_variant_descriptor
296,1,Long-tailed Duck (Winter male),Long-tailed Duck,0,"Long-tailed Duck Winter male; field marks: winter male plumage, large dark patch, white face, and dark patch.",clean_descriptor,Winter male,15,4,needs_normalization|shared_variant_descriptor
296,1,Long-tailed Duck (Winter male),Long-tailed Duck,1,"a field guide photo of a winter male Long-tailed Duck with winter male plumage, large dark patch, white face, and dark patch.",clean_descriptor,Winter male,15,4,needs_normalization|shared_variant_descriptor
297,2,Ruddy Duck (Breeding male),Ruddy Duck,0,"Ruddy Duck Breeding male; field marks: breeding male plumage, blackish cap, pale cheek, bright blue bill, and dull gray bill.",clean_descriptor,Breeding male,11,5,needs_normalization|shared_variant_descriptor
297,2,Ruddy Duck (Breeding male),Ruddy Duck,1,"a field guide photo of a breeding male Ruddy Duck with breeding male plumage, blackish cap, pale cheek, bright blue bill, and dull gray bill.",clean_descriptor,Breeding male,11,5,needs_normalization|shared_variant_descriptor
298,3,Swainson's Hawk (Dark morph ),Swainson's Hawk,0,"Swainson's Hawk Dark morph; field marks: dark morph, dark reddish-brown chest, brown gray upperparts, and white wing.",clean_descriptor,Dark morph,10,4,needs_normalization|shared_variant_descriptor
298,3,Swainson's Hawk (Dark morph ),Swainson's Hawk,1,"a field guide photo of a dark morph Swainson's Hawk with dark morph, dark reddish-brown chest, brown gray upperparts, and white wing.",clean_descriptor,Dark morph,10,4,needs_normalization|shared_variant_descriptor
299,4,Red-tailed Hawk (Light morph adult),Red-tailed Hawk,0,"Red-tailed Hawk Light morph adult; field marks: light morph adult, rich brown upperparts, pale underparts, dark bar, and dark belly.",clean_descriptor,Light morph adult,14,5,needs_normalization|shared_variant_descriptor
299,4,Red-tailed Hawk (Light morph adult),Red-tailed Hawk,1,"a field guide photo of a light morph adult Red-tailed Hawk with light morph adult, rich brown upperparts, pale underparts, dark bar, and dark belly.",clean_descriptor,Light morph adult,14,5,needs_normalization|shared_variant_descriptor
313,5,Snow Goose (White morph),Snow Goose,0,"Snow Goose White morph; field marks: white morph, blue white face, white body, dark line, and dark patch.",clean_descriptor,White morph,11,5,needs_normalization|shared_variant_descriptor
