raw_class_id,target,class_name,class_family,prompt_id,prompt,prompt_set,variant,external_trait_count,match_status,source_names,source_urls,licenses
295,0,Common Eider (Adult male),Common Eider,0,Common Eider Adult male,short_variant_plus_external_traits,Adult male,3,matched_with_traits,wikipedia,https://en.wikipedia.org/wiki/Common_eider,CC BY-SA (Wikipedia text; verify page footer)
295,0,Common Eider (Adult male),Common Eider,1,a field guide photo of an adult male Common Eider.,short_variant_plus_external_traits,Adult male,3,matched_with_traits,wikipedia,https://en.wikipedia.org/wiki/Common_eider,CC BY-SA (Wikipedia text; verify page footer)
295,0,Common Eider (Adult male),Common Eider,2,"a field guide photo of an adult male Common Eider, showing adult male plumage, black and white plumage, green bill, and green nape.",short_variant_plus_external_traits,Adult male,3,matched_with_traits,wikipedia,https://en.wikipedia.org/wiki/Common_eider,CC BY-SA (Wikipedia text; verify page footer)
296,1,Long-tailed Duck (Winter male),Long-tailed Duck,0,Long-tailed Duck Winter male,short_variant_plus_external_traits,Winter male,8,matched_with_traits,wikipedia,https://en.wikipedia.org/wiki/Long-tailed_duck,CC BY-SA (Wikipedia text; verify page footer)
296,1,Long-tailed Duck (Winter male),Long-tailed Duck,1,a field guide photo of a winter male Long-tailed Duck.,short_variant_plus_external_traits,Winter male,8,matched_with_traits,wikipedia,https://en.wikipedia.org/wiki/Long-tailed_duck,CC BY-SA (Wikipedia text; verify page footer)
296,1,Long-tailed Duck (Winter male),Long-tailed Duck,2,"a field guide photo of a winter male Long-tailed Duck, showing winter male plumage, brown back, dark breast, dark cheek, and dark crown.",short_variant_plus_external_traits,Winter male,8,matched_with_traits,wikipedia,https://en.wikipedia.org/wiki/Long-tailed_duck,CC BY-SA (Wikipedia text; verify page footer)
297,2,Ruddy Duck (Breeding male),Ruddy Duck,0,Ruddy Duck Breeding male,short_variant_plus_external_traits,Breeding male,5,matched_with_traits,wikipedia,https://en.wikipedia.org/wiki/Ruddy_duck,CC BY-SA (Wikipedia text; verify page footer)
297,2,Ruddy Duck (Breeding male),Ruddy Duck,1,a field guide photo of a breeding male Ruddy Duck.,short_variant_plus_external_traits,Breeding male,5,matched_with_traits,wikipedia,https://en.wikipedia.org/wiki/Ruddy_duck,CC BY-SA (Wikipedia text; verify page footer)
297,2,Ruddy Duck (Breeding male),Ruddy Duck,2,"a field guide photo of a breeding male Ruddy Duck, showing breeding male plumage, blackish cap, blue bill, gray bill, and pale cheek.",short_variant_plus_external_traits,Breeding male,5,matched_with_traits,wikipedia,https://en.wikipedia.org/wiki/Ruddy_duck,CC BY-SA (Wikipedia text; verify page footer)
298,3,Swainson's Hawk (Dark morph ),Swainson's Hawk,0,Swainson's Hawk Dark morph,short_variant_plus_external_traits,Dark morph,2,matched_with_traits,wikipedia,https://en.wikipedia.org/wiki/Swainson's_hawk,CC BY-SA (Wikipedia text; verify page footer)
298,3,Swainson's Hawk (Dark morph ),Swainson's Hawk,1,a field guide photo of a dark morph Swainson's Hawk.,short_variant_plus_external_traits,Dark morph,2,matched_with_traits,wikipedia,https://en.wikipedia.org/wiki/Swainson's_hawk,CC BY-SA (Wikipedia text; verify page footer)
298,3,Swainson's Hawk (Dark morph ),Swainson's Hawk,2,"a field guide photo of a dark morph Swainson's Hawk, showing dark morph, white throat, and large bird.",short_variant_plus_external_traits,Dark morph,2,matched_with_traits,wikipedia,https://en.wikipedia.org/wiki/Swainson's_hawk,CC BY-SA (Wikipedia text; verify page footer)
299,4,Red-tailed Hawk (Light morph adult),Red-tailed Hawk,0,Red-tailed Hawk Light morph adult,short_variant_plus_external_traits,Light morph adult,5,matched_with_traits,wikipedia,https://en.wikipedia.org/wiki/Red-tailed_hawk,CC BY-SA (Wikipedia text; verify page footer)
