raw_class_id,target,class_name,class_family,prompt_id,prompt,prompt_set,descriptor_count,descriptor_quality
295,0,Common Eider (Adult male),Common Eider,0,"a field guide photograph of a Common Eider (Adult male); visual field marks: large heavyset seabird body, white upperparts, black underparts, black cap, pale green nape, green yellow-orange bill, chocolate brown plumage, and white breast.",descriptor_variant,10,needs_normalization|shared_variant_descriptor
295,0,Common Eider (Adult male),Common Eider,1,"a close-up bird photo of a Common Eider (Adult male) showing large heavyset seabird body, white upperparts, black underparts, black cap, pale green nape, green yellow-orange bill, chocolate brown plumage, and white breast.",descriptor_variant,10,needs_normalization|shared_variant_descriptor
295,0,Common Eider (Adult male),Common Eider,2,"a fine-grained ID photo of a Common Eider (Adult male), with large heavyset seabird body, white upperparts, black underparts, black cap, pale green nape, green yellow-orange bill, chocolate brown plumage, and white breast.",descriptor_variant,10,needs_normalization|shared_variant_descriptor
296,1,Long-tailed Duck (Winter male),Long-tailed Duck,0,"a field guide photograph of a Long-tailed Duck (Winter male); visual field marks: small slender seabird body, rounded head, small bill, long tail, white plumage, black head, large dark patch, and black neck.",descriptor_variant,15,needs_normalization|shared_variant_descriptor
296,1,Long-tailed Duck (Winter male),Long-tailed Duck,1,"a close-up bird photo of a Long-tailed Duck (Winter male) showing small slender seabird body, rounded head, small bill, long tail, white plumage, black head, large dark patch, and black neck.",descriptor_variant,15,needs_normalization|shared_variant_descriptor
296,1,Long-tailed Duck (Winter male),Long-tailed Duck,2,"a fine-grained ID photo of a Long-tailed Duck (Winter male), with small slender seabird body, rounded head, small bill, long tail, white plumage, black head, large dark patch, and black neck.",descriptor_variant,15,needs_normalization|shared_variant_descriptor
297,2,Ruddy Duck (Breeding male),Ruddy Duck,0,"a field guide photograph of a Ruddy Duck (Breeding male); visual field marks: small compact body, scoop-shaped bill, thick neck, blackish cap, rich chestnut body, bright blue bill, dull gray-brown upperparts, and dull gray-brown underparts.",descriptor_variant,11,needs_normalization|shared_variant_descriptor
297,2,Ruddy Duck (Breeding male),Ruddy Duck,1,"a close-up bird photo of a Ruddy Duck (Breeding male) showing small compact body, scoop-shaped bill, thick neck, blackish cap, rich chestnut body, bright blue bill, dull gray-brown upperparts, and dull gray-brown underparts.",descriptor_variant,11,needs_normalization|shared_variant_descriptor
297,2,Ruddy Duck (Breeding male),Ruddy Duck,2,"a fine-grained ID photo of a Ruddy Duck (Breeding male), with small compact body, scoop-shaped bill, thick neck, blackish cap, rich chestnut body, bright blue bill, dull gray-brown upperparts, and dull gray-brown underparts.",descriptor_variant,11,needs_normalization|shared_variant_descriptor
298,3,Swainson's Hawk (Dark morph ),Swainson's Hawk,0,"a field guide photograph of a Swainson's Hawk (Dark morph ); visual field marks: broad wings, short tail, longer-winged wings, dark reddish-brown chest, brown gray upperparts, white wing, gray head, and brown head.",descriptor_variant,10,needs_normalization|shared_variant_descriptor
298,3,Swainson's Hawk (Dark morph ),Swainson's Hawk,1,"a close-up bird photo of a Swainson's Hawk (Dark morph ) showing broad wings, short tail, longer-winged wings, dark reddish-brown chest, brown gray upperparts, white wing, gray head, and brown head.",descriptor_variant,10,needs_normalization|shared_variant_descriptor
298,3,Swainson's Hawk (Dark morph ),Swainson's Hawk,2,"a fine-grained ID photo of a Swainson's Hawk (Dark morph ), with broad wings, short tail, longer-winged wings, dark reddish-brown chest, brown gray upperparts, white wing, gray head, and brown head.",descriptor_variant,10,needs_normalization|shared_variant_descriptor
299,4,Red-tailed Hawk (Light morph adult),Red-tailed Hawk,0,"a field guide photograph of a Red-tailed Hawk (Light morph adult); visual field marks: large body proportions, broad rounded wings, short wide tail, red-tailed rich brown upperparts, pale underparts, streaked belly, streaked wing, and dark bar.",descriptor_variant,14,needs_normalization|shared_variant_descriptor
299,4,Red-tailed Hawk (Light morph adult),Red-tailed Hawk,1,"a close-up bird photo of a Red-tailed Hawk (Light morph adult) showing large body proportions, broad rounded wings, short wide tail, red-tailed rich brown upperparts, pale underparts, streaked belly, streaked wing, and dark bar.",descriptor_variant,14,needs_normalization|shared_variant_descriptor
